Field,Type,Graph,Nodes,Edges,Finished,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 1.26, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 1.461, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 1.478, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 0.858, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 0.954, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 0.908, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 0.905, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 0.528, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, Yes, 1.495, mcs, 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
BN, ObjectDetection, deer_rescaled_1003.K15.F1.5.model.uai, 60, 150, No, 5216.138, mcs, 4,16, 6, 6, 6, 8.0, 16, 16, 29, 29, 32, 8.0, 16, 12, 1064, 1064, 1120, 8.0
BN, Alchemy, smokers_10, 120, 245, Yes, 0.124, , 55,1, 9, 9, 9, 0.0, 1, 1, 0, 0, 0, 0.0, 1, 1, 1824, 1824, 1824, 0.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.028, , 7,19717, 19, 19, 19, 0.0, 19717, 19717, 1157, 1139, 1185, 456.0, 19717, 1843, 26377536, 26376448, 26601792, 9.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.015, , 7,22472, 19, 19, 19, 0.0, 22472, 22472, 1157, 1139, 1185, 401.0, 22472, 1944, 26377536, 26376448, 26601792, 8.0
