file path,mode,enumeration_timeout,results,features extraction overhead,model,model_overhead,first TD prediction,first TD actual runtime,optimal TD prediction,optimal TD actual runtime
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,MULTILAYER_PERCEPTRON,0.183,122.30646958278794,3830.0,-28821.085310836977,1370.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,CV_PARAMETER_SELECTION,0.041,8882.851946807685,3830.0,4085.568846563997,1290.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,IBK,0.754,10160.095274552288,3830.0,3189.3240942620846,1940.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,LINEAR_REGRESSION,0.029,10676.103477494558,3830.0,2617.644210415616,1100.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,M5RULES,0.026,8831.540935706329,3830.0,3246.3576718226186,1800.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,ADDITIVE_REGRESSION,0.582,5159.999941904189,3830.0,5159.999941904189,3830.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,LEAST_MED_SQ,0.014,10107.750237971617,3830.0,3492.856154038367,1100.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,PACE_REGRESSION,0.027,11336.916016810255,3830.0,2292.6881474369966,1250.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,PLS_CLASSIFIER,0.606,11082.2450876511,3830.0,1096.16077081964,1570.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2775,10.373,M5P,0.009,7826.749179333121,3830.0,4085.568846563997,1290.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,ISOTONIC_REGRESSION,0.02,5699.772486772486,3300.0,2393.5714285714284,940.0
